id,title,synopsis
31,Billy Elliot,"set against the background of the 1984 miners' strike, 11-year-old billy elliot stumbles out of the boxing ring and onto the ballet floor. he faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes."
43,Dirty Dancing,"expecting the usual tedium that accompanies a summer in the catskills with her family, 17-year-old frances 'baby' houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love."
54,Léon: The Professional,"léon, the top hit man in new york, has earned a rep as an effective ""cleaner"". but when his next-door neighbors are wiped out by a loose-cannon dea agent, he becomes the unwilling custodian of 12-year-old mathilda. before long, mathilda's thoughts turn to revenge, and she considers following in léon's footsteps."
148,About a Boy,"will freeman is a good-looking, smooth-talking bachelor whose primary goal in life is avoiding any kind of responsibility. but when he invents an imaginary son in order to meet attractive single moms, will gets a hilarious lesson about life from a bright, but hopelessly geeky 12-year-old named marcus. now, as will struggles to teach marcus the art of being cool, marcus teaches will that you're never too old to grow up."
168,Strange Days,"set in the year 1999 during the last days of the old millennium, the movie tells the story of lenny nero, an ex-cop who now deals with data-discs containing recorded memories and emotions. one day he receives a disc which contains the memories of a murderer killing a prostitute. lenny investigates and is pulled deeper and deeper in a whirl of blackmail, murder and rape. will he survive and solve the case?"
209,Harold and Maude,the young harold lives in his own world of suicide-attempts and funeral visits to avoid the misery of his current family and home environment. harold meets an 80-year-old woman named maude who also lives in her own world yet one in which she is having the time of her life. when the two opposites meet they realize that their differences don’t matter and they become best friends and love each other.
243,Vertigo,"a retired san francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her."
292,The Blues Brothers,"jake blues, just released from prison, puts his old band back togther to save the catholic home where he and his brother elwood were raised."
302,Janine F.,the humorous portrait of a female artist. the film follows the career of 24-year-old janine f. who in 2002 caused a commotion from the rooftop of a berlin building.
307,There's Something About Mary,"for ted, prom night went about as bad as it’s possible for any night to go. thirteen years later, he finally gets another chance with his old prom date, only to run up against other suitors including the sleazy detective he hired to find her."
347,Titanic,"101-year-old rose dewitt bukater tells the story of her life aboard the titanic, 84 years later. a young rose boards the ship with her mother and fiancé. meanwhile, jack dawson and fabrizio de rossi win third-class tickets aboard the ship. rose tells the whole story from titanic's departure through to its death—on its first and last voyage—on april 15, 1912."
438,The Sixth Sense,"following an unexpected tragedy, a child psychologist named malcolm crowe meets an eight year old boy named cole sear, who is hiding a dark secret."
453,The Evil Dead,"when a group of college students finds a mysterious book and recording in the old wilderness cabin they've rented for the weekend, they unwittingly unleash a demonic force from the surrounding forest."
462,Little Miss Sunshine,"a family loaded with quirky, colorful characters piles into an old van and road trips to california for little olive to compete in a beauty pageant."
465,Almost Famous,"in 1973, 15-year-old william miller's unabashed love of music and aspiration to become a rock journalist lands him an assignment from rolling stone magazine to interview and tour with the up-and-coming band stillwater."
536,Shanghai Express,a beautiful temptress re-kindles an old romance while trying to escape her past during a tension-packed train journey.
629,Whale Rider,"on the east coast of new zealand, the whangara people believe their presence there dates back a thousand years or more to a single ancestor, paikea, who escaped death when his canoe capsized by riding to shore on the back of a whale. from then on, whangara chiefs, always the first-born, always male, have been considered paikea's direct descendants. pai, an 11-year-old girl in a patriarchal new zealand tribe, believes she is destined to be the new chief. but her grandfather koro is bound by tradition to pick a male leader. pai loves koro more than anyone in the world, but she must fight him and a thousand years of tradition to fulfill her destiny."
