id,title,synopsis
1,Judgment Night,"while racing to a boxing match, frank, mike, john and rey get more than they bargained for. a wrong turn lands them directly in the path of fallon, a vicious, wise-cracking drug lord. after accidentally witnessing fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat & mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama"
18,Unforgiven,"william munny is a retired, once-ruthless killer turned gentle widower and hog farmer. to help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff."
24,Twelve Monkeys,"in the year 2035, convict james cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. but when cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. there he meets psychiatrist dr. kathryn railly, and patient jeffrey goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the army of the 12 monkeys, thought to be responsible for unleashing the killer disease."
26,Absolute Power,"a master thief coincidentally is robbing a house where a murder—in which the president of the united states is involved—occurs in front of his eyes. he is forced to run, while holding evidence that could convict the president."
32,American History X,"derek vineyard is paroled after serving 3 years in prison for killing two african-american men. through his brother, danny vineyard's narration, we learn that before going to prison, derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout l.a. and his actions greatly influenced danny. reformed and fresh out of prison, derek severs contact with the gang and becomes determined to keep danny from going down the same violent path as he did."
39,Miami Vice,"a case involving drug lords and murder in south florida takes a personal turn for undercover detectives sonny crockett and ricardo tubbs. unorthodox crockett gets involved romantically with the chinese-cuban wife of a trafficker of arms and drugs, while tubbs deals with an assault on those he loves."
45,Beverly Hills Cop,"the heat is on in this fast paced action-comedy starring eddie murphy as axel foley, a street smart detroit cop tracking down his best friend's killer in beverly hills. axel quickly learns that his wild style doesn't fit in with the beverly hills police department, which assigns two officers (judge reinhold & john ashton) to make sure things don't get out of hand. dragging the stuffy detectives along for the ride, axel smashes through a huge culture clash in his hilarious, high-speed pursuit of justice. featuring cameos by paul reiser, bronson pinchot and damon wayans, beverly hills cop is an exhilarating, sidesplitting adventure."
47,Anatomy of a Murder,"semi-retired michigan lawyer paul biegler takes the case of army lt. manion, who murdered a local innkeeper after his wife claimed that he raped her. over the course of an extensive trial, biegler parries with district attorney lodwick and out-of-town prosecutor claude dancer to set his client free, but his case rests on the victim's mysterious business partner, who's hiding a dark secret."
50,Beverly Hills Cop II,"axel heads for the land of sunshine and palm trees to find out who shot police captain andrew bogomil. thanks to a couple of old friends, axel's investigation uncovers a series of robberies masterminded by a heartless weapons kingpin—and the chase is on."
59,Scarface,"after getting a green card in exchange for assassinating a cuban government official, tony montana stakes a claim on the drug trade in miami. viciously murdering anyone who stands in his way, tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through miami. but increased pressure from the police, wars with colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall."
63,The Untouchables,"young treasury agent elliot ness arrives in chicago and is determined to take down al capone, but it's not going to be easy because capone has the police in his pocket. ness meets jimmy malone, a veteran patrolman and probably the most honorable one on the force. he asks malone to help him get capone, but malone warns him that if he goes after capone, he is going to war."
80,48 Hrs.,"a hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer."
84,The Dark Knight,"batman raises the stakes in his war on crime. with the help of lt. jim gordon and district attorney harvey dent, batman sets out to dismantle the remaining criminal organizations that plague the streets. the partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of gotham as the joker."
93,Predator 2,"ten years after a band of mercenaries first battled a vicious alien, the invisible creature from another world has returned to earth—and this time, it’s drawn to the gang-ruled and ravaged city of los angeles. when it starts murdering drug dealers, detective-lieutenant mike harrigan and his police force set out to capture the creature, ignoring warnings from a mysterious government agent to stay away."
94,28 Days Later,"twenty-eight days after a killer virus was accidentally unleashed from a british research facility, a small group of london survivors are caught in a desperate struggle to protect themselves from the infected. carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain."
98,Saw,"obsessed with teaching his victims the value of life, a deranged, sadistic serial killer abducts the morally wayward. once captured, they must face impossible choices in a horrific game of survival. the victims must fight to win their lives back, or die trying..."
101,The Interpreter,"after silvia broome, an interpreter at united nations headquarters, overhears plans of an assassination, an american secret service agent is sent to investigate."
102,Minority Report,"john anderton is a top 'precrime' cop in the late-21st century, when technology can predict crimes before they're committed. but anderton becomes the quarry when another investigator targets him for a murder charge."
125,Saw III,"jigsaw has disappeared. along with his new apprentice amanda, the puppet-master behind the cruel, intricate games that have terrified a community and baffled police has once again eluded capture and vanished. while city detective scramble to locate him, doctor lynn denlon and jeff reinhart are unaware that they are about to become the latest pawns on his vicious chessboard."
126,Saw II,"when a new murder victim is discovered with all the signs of jigsaw's hand, detective eric matthews begins a full investigation and apprehends jigsaw with little effort. but for jigsaw, getting caught is just another part of his plan. eight more of his victims are already fighting for their lives and now it's time for matthews to join the game."
144,Natural Born Killers,two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.
154,Live and Let Die,james bond must investigate a mysterious murder case of a british agent in new orleans. soon he finds himself up against a gangster boss named mr. big.
186,Beverly Hills Cop III,"back in sunny southern california and on the trail of two murderers, axel foley again teams up with la cop billy rosewood. soon, they discover that an amusement park is being used as a front for a massive counterfeiting ring – and it's run by the same gang that shot billy's boss."
198,Snakes on a Plane,"america is on the search for the murderer eddie kim. sean jones must fly to l.a. to testify in a hearing against kim. accompanied by fbi agent neville flynn, the flight receives some unexpected visitors."
199,Brother,"a japanese yakuza gangster’s deadly existence in his homeland gets him exiled to los angeles, where he is taken in by his little brother and his brother’s gang."
220,Inside Man,"when an armed, masked gang enter a manhattan bank, lock the doors and take hostages, the detective assigned to effect their release enters negotiations preoccupied with corruption charges he is facing."
231,Basic Instinct,"a police detective is in charge of the investigation of a brutal murder, in which a beautiful and seductive woman could be involved."
267,Shaft,cool black private eye john shaft is hired by a crime lord to find and retrieve his kidnapped daughter.
270,Good Will Hunting,"will hunting has a genius-level iq but chooses to work as a janitor at mit. when he solves a difficult graduate-level math problem, his talents are discovered by professor gerald lambeau, who decides to help the misguided youth reach his potential. when will is arrested for attacking a police officer, professor lambeau makes a deal to get leniency for him if he will get treatment from therapist sean maguire."
272,Shaft's Big Score!,john shaft is back as the lady-loved black detective cop on the search for the murderer of a client.
273,Shaft in Africa,"detective john shaft travels incognito to ethiopia, then france, to bust a human trafficking ring."
276,Reservoir Dogs,"a botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. crime begets violence as the survivors -- veteran mr. white, newcomer mr. orange, psychopathic parolee mr. blonde, bickering weasel mr. pink and nice guy eddie -- unravel."
280,Monster,"an emotionally scarred highway drifter shoots a sadistic trick who rapes her, and ultimately becomes the united states' first female serial killer."
